Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Mangapet_WL2034,ETURUNAGARAM,CAT-B,175.5541696297003,169.0176329423671,Increase,98.96499999999999,99.6613768359198,Decrease,Healthy,Healthy,Healthy,Not Applicable,
Lingala_578002_UVTSWGL00010,ETURUNAGARAM,CAT-B,169.7134900586678,151.2048807964969,Increase,99.15000000000002,94.91570180792554,Increase,Low Sector: S1 (B1) | Low Sector: S1 (B28),Low Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,
Ramannagudem_WL5044,ETURUNAGARAM,CAT-D,161.61989444401087,180.0778414516086,Decrease,99.46666666666667,99.85652180694726,Decrease,Low Sector: S2 (B41),Healthy,Healthy,Low Sector: S2 (B41),Advise Marketing Campaign
Chinthaguda_281986_UVTSWGL00041,ETURUNAGARAM,CAT-A,150.1736839907243,119.67097091218444,Increase,99.3,97.72681170035099,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Ilapur_577896_UVTSWGL00043,ETURUNAGARAM,CAT-B,145.48356531094748,122.01396267206086,Increase,99.89,99.55398547628651,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S1,S2 (B28)","Low Sector: S1,S2 (B1)","Low Sector: S1,S2 (B28)",Not Applicable,
Beerelli_578019_UVTSWGL00054,ETURUNAGARAM,CAT-A,141.2258138386531,139.97044666074174,Increase,99.25,99.36826107301573,Decrease,"Low Sector: S0,S1 (B28)",Not Applicable,"Low Sector: S0,S1 (B28)",Not Applicable,
Roheer_WL5043,ETURUNAGARAM,CAT-D,141.19963465537847,148.44335123409184,Decrease,88.88888888888889,97.10971018325877,Decrease,Zero Sector: S0 (B41),Healthy,Healthy,Zero Sector: S0 (B41),
Bollepalle_(PL)_578003_UVTSWGL00008,ETURUNAGARAM,CAT-B,140.21082387771446,94.03925969265393,Increase,100.0,83.6328264015308,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S0,S1 (B28)","Low Sector: S1,S2 (B1)","Low Sector: S0,S1 (B28)",Not Applicable,
Veerapuram_578015_UVTSWGL00085,ETURUNAGARAM,CAT-A,126.2825811263173,117.69610368522493,Increase,100.0,99.48318871981856,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Eturunagaram_WL2025,ETURUNAGARAM,CAT-C,117.74944522790584,127.49543155201995,Decrease,99.29,99.57050729945084,Decrease,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Nimmagudem_278330_UVTSWGL00079,ETURUNAGARAM,CAT-B,110.92908421531298,127.22578517279261,Decrease,99.425,99.55355071136916,Decrease,Low Sector: S1 (B1) | Low Sector: S2 (B28),Low Sector: S1 (B1),Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Eturunagaram_BS_WL2228,ETURUNAGARAM,CAT-C,91.93529409170131,112.54984148824565,Decrease,99.32000000000001,98.96978282099184,Increase,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Katapur_WL2166,ETURUNAGARAM,CAT-C,90.41089306492341,70.54610459593418,Increase,100.0,99.2777537912562,Increase,Healthy,Not Applicable,Healthy,Healthy,
Bhupathipuram_577863_UVTSWGL00040,ETURUNAGARAM,CAT-A,79.64956085011356,67.84188153504694,Increase,99.65666666666668,99.77971021569293,Decrease,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,
Medaram_EM_WL2251_Existing,ETURUNAGARAM,CAT-A,75.26644151471542,76.91273673353707,Decrease,100.0,99.58536228345787,Increase,Healthy,Not Applicable,Healthy,Not Applicable,Advise Marketing Campaign
Narlapur_WL2252_Existing,ETURUNAGARAM,CAT-C,73.64465196058137,72.79907238160553,Increase,99.77500000000002,99.00326082533682,Increase,Healthy,Not Applicable,Healthy,Healthy,
Bittupalle_(PL)_577976_UVTSWGL00055,ETURUNAGARAM,CAT-A,66.83322584722185,71.47166940784078,Decrease,98.65000000000002,99.89376807613648,Decrease,"Low Sector: S0,S2 (B28)",Not Applicable,"Low Sector: S0,S2 (B28)",Not Applicable,Advise Marketing Campaign
Chityala_577877_UVTSWGL00039,ETURUNAGARAM,CAT-A,65.24927057605235,61.16687201882397,Increase,100.0,99.86956520412278,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Chunchpaly_INDUS_WL5096,ETURUNAGARAM,CAT-B,62.78408581204703,57.79116512127213,Increase,99.265,99.67130430802055,Decrease,Low Sector: S0 (B1) | Low Sector: S0 (B28),Low Sector: S0 (B1),Low Sector: S0 (B28),Not Applicable,
Kanthanapalle_279531_UVTSWGL00011,ETURUNAGARAM,CAT-A,52.3547553140668,46.233382394071604,Increase,100.0,99.84202906069548,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
