Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Kannaigudem_WL2236,ETURUNAGARAM,CAT-D,409.95266030542507,386.2680561194814,Increase,100.0,97.9742031034755,Increase,Healthy,Healthy,Healthy,Healthy,
Narsampeta_WL_WL2004,NARSAMPET,CAT-D,342.7920241737732,288.3371559871667,Increase,100.0,99.73429962895341,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Healthy,
Komatlagudem_WL2230,NARSAMPET,CAT-C,318.02437236625633,275.1353630973641,Increase,100.0,91.54376784172611,Increase,Healthy,Not Applicable,Healthy,Healthy,
Chalpaka_577893_UVTSWGL00001,ETURUNAGARAM,CAT-B,285.7306424807746,245.17842201177626,Increase,100.0,99.3625363203408,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,
Malyala_577899_UVTSWGL00006,ETURUNAGARAM,CAT-A,278.9473120449104,240.68931881887775,Increase,100.0,99.3510144308339,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Pasara_WL2041,MULUGU,CAT-D,272.6321198046202,228.08230246954255,Increase,100.0,99.75497588374188,Increase,Healthy,Healthy,Healthy,Healthy,
Thativarivempally_279281_UVTSWGL00078,NARSAMPET,CAT-B,239.1836338089775,216.22944314886485,Increase,100.0,96.72760846566462,Increase,Healthy,Healthy,Healthy,Not Applicable,
Bathulapalle_213695_UVTSWGL00059,NARSAMPET,CAT-B,221.488870238885,195.7651902827432,Increase,100.0,96.7007970704894,Increase,Healthy,Healthy,Healthy,Not Applicable,
Gangaram_578449_UVTSWGL00030,NARSAMPET,CAT-A,218.99958886019868,201.08220923167332,Increase,99.71999999999998,97.2531889299033,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Kamaram_578415_UVTSWGL00031,NARSAMPET,CAT-A,218.3761341953649,207.3984402094652,Increase,100.0,95.86275368510809,Increase,Low Sector: S1 (B28),Not Applicable,Low Sector: S1 (B28),Not Applicable,
